Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
Josh Allen,282.56,395,403,261.3529412,247.3259804,BUF,QB,22.8,275.4096851
Justin Herbert,0,333,381,297.1764706,196.103268,LAC,QB,37.8,297.1764706
Lamar Jackson,415.68,333,240,241.5,212.6333333,BAL,QB,49.3,241.5
Joe Burrow,0,174,314,290.3125,186.8041667,CIN,QB,56.5,290.3125
Kyler Murray,279.28,379,300,272.2142857,251.9672619,ARI,QB,59.3,246.9273024
Jalen Hurts,0,108,312,210.6666667,93.93333333,PHI,QB,66.8,210.6666667
Dak Prescott,335.78,135,321,280.375,320.5416667,DAL,QB,76,280.375
Russell Wilson,326.6,360,243,224.1428571,249.5684524,SEA,QB,77.3,224.1428571
Tom Brady,261.68,338,375,315.2352941,287.4534314,TAM,QB,82.3,315.2352941
Matthew Stafford,166.56,261,330,289.8235294,287.1495098,LAR,QB,86.8,246.1335115
Aaron Rodgers,272.38,382,332,259.5,260.9791667,GNB,QB,92.8,275.3417153
Trey Lance,0,0,65,101.3333333,33.77777778,SFO,QB,103.8,101.3333333
Derek Carr,244.36,272,257,283.9411765,265.5845588,LVR,QB,110.3,251.7417069
Kirk Cousins,242.42,306,300,265.875,258.8527778,MIN,QB,115.5,265.875
Tua Tagovailoa,0,135,181,205.3076923,129.2692308,MIA,QB,132.5,205.3076923
Justin Fields,0,0,127,156.4166667,52.13888889,CHI,QB,146.3,156.4166667
Trevor Lawrence,0,0,199,214.8823529,71.62745098,JAX,QB,159.8,214.8823529
Matt Ryan,265.34,282,223,234.5882353,273.9974673,ATL,QB,167.5,234.5882353
Mac Jones,0,0,225,224.8823529,74.96078431,NWE,QB,168,219.3264399
Jameis Winston,297.36,2,117,169.1428571,169.7559524,NOR,QB,176.3,169.1428571
Ryan Tannehill,222.18,343,268,220.8823529,230.6552288,TEN,QB,187.3,220.8823529
Carson Wentz,271.86,198,258,211.1764706,228.3227124,IND,QB,188,211.1764706
Baker Mayfield,227.18,248,181,216.2142857,227.0297619,CLE,QB,198.3,215.2276702
Davis Mills,0,0,157,206.1538462,68.71794872,HOU,QB,205,206.1538462
Jared Goff,247.52,240,195,233.1428571,263.0642857,DET,QB,212.5,233.1428571
Taysom Hill,102.2,149,118,81.83333333,47.84027778,NOR,QB,222,81.83333333
Zach Wilson,0,0,152,180.2307692,60.07692308,NYJ,QB,227.3,180.2307692
Jimmy Garoppolo,243.32,64,228,255.3333333,229.8263889,SFO,QB,235,255.3333333
Daniel Jones,210.98,180,167,221.6363636,222.4428904,NYG,QB,240,212.7301263
Marcus Mariota,85.02,26,15,0.4,133.4190476,LVR,QB,269,0.4
Jacoby Brissett,215.68,21,72,117.0909091,105.3232323,MIA,QB,274,124.1827642
Geno Smith,0,1,54,176.75,69.91666667,SEA,QB,327,137.2074931
