,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,Team,POS,AVG,Prediction
0,Jonathan Taylor,0.0,217.0,333.0,97.25065274151436,59.723157309902085,IND,RB1,1.0,77.16336221231576
1,Austin Ekeler,309.0,111.0,274.0,84.16,79.97979128299569,LAC,RB2,3.0,84.15999999999991
2,Cooper Kupp,270.5,117.0,295.0,100.22916666666666,84.27473196881091,LAR,WR1,3.5,89.14003297141315
3,Derrick Henry,294.6,314.0,175.0,36.85355648535565,67.39717519177557,TEN,RB3,3.8,36.853556485355604
4,Christian McCaffrey,469.2,73.0,91.0,39.35,47.96204351204352,CAR,RB4,4.0,39.34999999999994
5,Justin Jefferson,0.0,186.0,222.0,101.3818181818182,69.07406458955755,MIN,WR2,6.3,101.38181818181818
6,Najee Harris,0.0,0.0,227.0,71.09476309226932,23.69825436408977,PIT,RB5,7.3,71.09476309226922
7,Dalvin Cook,292.4,294.0,172.0,60.59395973154362,69.72421783121847,MIN,RB6,7.8,60.59395973154367
8,Ja'Marr Chase,0.0,0.0,224.0,121.11483253588516,40.37161084529505,CIN,WR3,9.3,121.11483253588499
9,Joe Mixon,225.4,79.0,246.0,72.23529411764706,55.58549517810754,CIN,RB7,9.8,81.34367450049973
10,Davante Adams,210.7,243.0,221.0,85.6986301369863,72.257984937437,LV,WR4,11.5,85.69863013698622
11,Stefon Diggs,212.1,202.0,183.0,78.63295880149813,92.43666976680012,BUF,WR5,12.8,82.49495018026678
12,Nick Chubb,255.2,192.0,195.0,79.79446640316205,77.59108017029956,CLE,RB8,13.8,79.79446640316202
13,Travis Kelce,254.3,208.0,171.0,80.56637168141593,83.75597224859787,KC,TE1,14.0,80.56637168141602
14,D'Andre Swift,0.0,144.0,147.0,61.08296943231441,42.86391378737966,DET,RB9,14.5,61.082969432314464
15,Aaron Jones,314.8,212.0,177.0,76.27118644067797,79.07524396507448,GB,RB10,17.5,61.2923244240781
16,CeeDee Lamb,0.0,144.0,154.0,95.19597989949747,61.22388519172439,DAL,WR6,17.5,95.19597989949757
17,Deebo Samuel,187.1,48.0,262.0,144.16161616161617,95.7567706045967,SF,WR7,19.0,144.1616161616165
18,Alvin Kamara,248.52,295.0,188.0,56.99674267100977,71.32722166604987,NO,RB11,19.3,61.65119245417
19,Javonte Williams,0.0,0.0,162.0,81.4140625,27.13802083333333,DEN,RB12,20.0,82.88968294984289
20,Saquon Barkley,244.1,9.0,108.0,51.05022831050229,40.9065621461937,NYG,RB13,21.3,51.05022831050237
21,Tyreek Hill,188.3,242.0,186.0,84.62222222222222,84.31698637412923,MIA,WR8,21.8,84.62222222222225
22,Leonard Fournette,259.4,96.0,187.0,67.66666666666667,63.76426940639269,TB,RB14,23.0,69.18009879303631
23,Mark Andrews,207.2,112.0,194.0,89.57692307692307,79.09404961688067,BAL,TE2,23.3,89.576923076923
24,Mike Evans,230.7,179.0,189.0,90.12765957446808,87.69210777400485,TB,WR9,25.0,90.12765957446818
25,A.J. Brown,217.1,178.0,118.0,68.4047619047619,95.51861047449285,PHI,WR10,28.5,68.40476190476174
26,Keenan Allen,261.5,145.0,152.0,69.59695817490494,67.81261042020977,LAC,WR11,29.0,69.596958174905
27,Ezekiel Elliott,311.7,172.0,205.0,73.23509933774834,71.12086516583419,DAL,RB15,29.8,73.2350993377484
28,Tee Higgins,0.0,128.0,145.0,83.46739130434783,56.53103519668738,CIN,WR12,30.8,83.46739130434793
29,James Conner,145.5,130.0,221.0,71.2655601659751,58.637609330829406,ARI,RB16,31.8,71.26556016597527
30,Cam Akers,0.0,91.0,1.0,1.625,21.009171907756816,LAR,RB17,32.3,30.666704039332124
31,David Montgomery,170.4,211.0,153.0,54.4963768115942,63.07417477010163,CHI,RB18,33.5,54.496376811594104
32,Michael Pittman Jr.,0.0,59.0,151.0,88.68202764976958,52.29994981064928,IND,WR13,37.5,88.68202764976942
33,Antonio Gibson,0.0,166.0,187.0,69.21290322580646,46.03358456436539,WAS,RB19,38.0,66.96047766804215
34,Terry McLaurin,191.9,137.0,137.0,87.8743961352657,83.97291533996535,WAS,WR14,41.3,87.87439613526574
35,Jaylen Waddle,0.0,0.0,142.0,67.21311475409836,22.40437158469945,MIA,WR15,41.5,67.2131147540985
36,George Kittle,222.5,77.0,127.0,79.41818181818181,68.41041496041495,SF,TE4,42.8,79.41818181818165
37,Diontae Johnson,157.1,134.0,167.0,70.84057971014492,69.6222899863534,PIT,WR16,43.0,70.84057971014498
38,Josh Jacobs,191.6,198.0,172.0,65.6049822064057,63.85669568905862,LV,RB21,44.3,65.6049822064058
39,Elijah Mitchell,0.0,0.0,146.0,53.59471365638766,17.86490455212922,SF,RB23,45.5,65.98298084932625
40,Darren Waller,221.0,172.0,79.0,49.57432432432432,71.73434459304025,LV,TE5,46.8,49.574324324324245
