,Player,Tm,Age,2021 Games,2021 GS,2021 Tgt,2021 Rec,2021 RushingYds,2021 RushingTD,2021 RushingAtt,2021 ReceivingYds,2021 ReceivingTD,2021 FantasyPoints,2019 Games,2019 GS,2019 Tgt,2019 Rec,2019 RushingYds,2019 RushingTD,2019 RushingAtt,2019 ReceivingYds,2019 ReceivingTD,2019 FantasyPoints,2020 Games,2020 GS,2020 Tgt,2020 Rec,2020 RushingYds,2020 RushingTD,2020 RushingAtt,2020 ReceivingYds,2020 ReceivingTD,2020 FantasyPoints,Usage19,Touchdowns19,TotYdsScrm19,Production19,Usage20,Touchdowns20,TotYdsScrm20,Production20,Usage21,Touchdowns21,TotYdsScrm21,Production21,Average Total Usage,Average Total Yards,Average Total Production
0,Davante Adams,GNB,27.0,12.0,12.0,127.0,83.0,0.0,0.0,0.0,997.0,5.0,210.7,14,14,149.0,115.0,0.0,0.0,0.0,1374.0,18.0,243.0,16.0,16.0,169.0,123.0,0.0,0.0,0.0,1553.0,11.0,221.0,18.857142857142858,18.0,1374.0,73.81818181818181,18.25,11.0,1553.0,85.6986301369863,17.5,5.0,997.0,57.25714285714286,18.202380952380953,1308.0,72.257984937437
1,Tyreek Hill,KAN,25.0,12.0,12.0,89.0,58.0,23.0,0.0,8.0,860.0,7.0,188.3,15,15,135.0,87.0,123.0,2.0,13.0,1276.0,15.0,242.0,17.0,16.0,159.0,111.0,96.0,0.0,9.0,1239.0,9.0,186.0,14.8,17.0,1399.0,95.67567567567568,15.882352941176471,9.0,1335.0,84.62222222222222,12.25,7.0,883.0,72.65306122448979,14.310784313725492,1205.6666666666667,84.31698637412923
2,Stefon Diggs,MIN,26.0,15.0,15.0,94.0,63.0,61.0,0.0,5.0,1130.0,6.0,212.1,16,15,166.0,127.0,1.0,0.0,1.0,1535.0,8.0,202.0,17.0,17.0,164.0,103.0,0.0,0.0,0.0,1225.0,10.0,183.0,18.3125,8.0,1536.0,84.31399317406144,15.705882352941176,10.0,1225.0,78.63295880149813,10.466666666666667,6.0,1191.0,114.36305732484077,14.828349673202615,1317.3333333333333,92.43666976680011
3,Calvin Ridley,ATL,25.0,13.0,10.0,93.0,63.0,34.0,0.0,2.0,866.0,7.0,195.0,15,15,143.0,90.0,1.0,0.0,5.0,1374.0,9.0,192.0,5.0,5.0,52.0,31.0,0.0,0.0,0.0,281.0,2.0,40.0,15.533333333333333,9.0,1375.0,89.09871244635193,16.6,2.0,281.0,17.048192771084334,12.0,7.0,900.0,75.58333333333333,14.71111111111111,852.0,60.576746183589854
4,D.K. Metcalf,SEA,22.0,16.0,15.0,100.0,58.0,11.0,0.0,2.0,900.0,7.0,185.1,16,16,129.0,83.0,0.0,0.0,0.0,1303.0,10.0,188.0,17.0,17.0,129.0,75.0,6.0,0.0,1.0,967.0,12.0,169.0,13.25,10.0,1303.0,99.09433962264151,12.0,12.0,973.0,82.08333333333333,9.875,7.0,911.0,92.9620253164557,11.708333333333334,1062.3333333333333,91.37989942414352
5,Justin Jefferson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14,125.0,88.0,2.0,0.0,1.0,1400.0,7.0,186.0,17.0,17.0,167.0,108.0,14.0,0.0,6.0,1616.0,10.0,222.0,13.3125,7.0,1402.0,105.84037558685446,16.176470588235293,10.0,1630.0,101.38181818181819,0.0,0.0,0.0,0.0,9.829656862745098,1010.6666666666666,69.07406458955755
6,Adam Thielen,MIN,29.0,10.0,10.0,48.0,30.0,6.0,1.0,4.0,418.0,6.0,114.4,15,15,108.0,74.0,15.0,0.0,3.0,925.0,14.0,180.0,13.0,13.0,95.0,67.0,2.0,0.0,1.0,726.0,10.0,133.0,12.133333333333333,14.0,940.0,78.62637362637363,12.461538461538462,10.0,728.0,59.22222222222222,7.8,7.0,424.0,55.256410256410255,10.798290598290597,697.3333333333334,64.36833536833537
7,Mike Evans,TAM,26.0,13.0,13.0,118.0,67.0,0.0,0.0,0.0,1157.0,8.0,230.7,16,16,109.0,70.0,0.0,0.0,0.0,1006.0,13.0,179.0,16.0,16.0,114.0,74.0,10.0,0.0,1.0,1035.0,14.0,189.0,11.1875,13.0,1006.0,91.08379888268156,11.75,14.0,1045.0,90.12765957446808,14.23076923076923,8.0,1157.0,81.86486486486487,12.389423076923075,1069.3333333333333,87.69210777400485
8,A.J. Brown,TEN,22.0,16.0,11.0,84.0,52.0,60.0,1.0,3.0,1051.0,8.0,217.1,14,12,106.0,70.0,0.0,0.0,0.0,1075.0,11.0,178.0,13.0,13.0,105.0,63.0,10.0,0.0,2.0,869.0,5.0,118.0,12.571428571428571,11.0,1075.0,86.38636363636364,12.923076923076923,5.0,879.0,68.4047619047619,8.5,9.0,1111.0,131.76470588235293,11.331501831501832,1021.6666666666666,95.51861047449283
9,DeAndre Hopkins,HOU,27.0,15.0,15.0,150.0,104.0,18.0,0.0,2.0,1165.0,7.0,266.54,16,16,160.0,115.0,1.0,0.0,1.0,1407.0,6.0,173.0,10.0,10.0,64.0,42.0,0.0,0.0,0.0,572.0,8.0,105.0,17.1875,6.0,1408.0,82.2690909090909,10.6,8.0,572.0,54.716981132075475,16.933333333333334,7.0,1183.0,70.2755905511811,14.906944444444443,1054.3333333333333,69.08722086411582
