,POINTS,ATT,YDS,TDS,REC,Player,position,player_team_id,player_age,rank_ecr,CMP,CMP %,INTS
0,176.8,219.6,991.7,6.7,39.3,Breece Hall,RB,NYJ,21,1,,,
1,113.5,,863.7,4.7,65.5,Drake London,WR,ATL,21,2,,,
2,105.6,164.8,643.8,4.6,17.6,Ken Walker III,RB,SEA,21,3,,,
3,116.2,,834.8,5,58.7,Treylon Burks,WR,TEN,22,4,,,
4,70.3,,526,3.1,38.3,Jameson Williams,WR,DET,21,5,,,
5,97.6,,731.9,4.1,53.7,Garrett Wilson,WR,NYJ,22,6,,,
6,98.5,,718.2,4.6,50.3,Chris Olave,WR,NO,22,7,,,
7,86.9,,616.5,4.3,45.8,Skyy Moore,WR,KC,21,8,,,
8,72.5,,503.6,3.7,37.4,Christian Watson,WR,GB,23,9,,,
9,87.6,,671.2,3.6,53.8,George Pickens,WR,PIT,21,10,,,
10,88.6,,679.2,3.7,51.3,Jahan Dotson,WR,WAS,22,11,,,
11,100.3,110.2,474.4,3.6,29.2,James Cook,RB,BUF,22,12,,,
12,100.3,152.7,558.7,3.8,24.7,Dameon Pierce,RB,HOU,22,13,,,
13,76.7,,552.6,3.6,40.6,Alec Pierce,WR,IND,22,14,,,
14,77.5,93.7,374.6,3.4,19.9,Rachaad White,RB,TB,23,15,,,
15,55.3,,413.3,2.3,33.3,David Bell,WR,CLE,21,16,,,
16,87.9,,632.9,4.3,48.2,Jalen Tolbert,WR,DAL,23,17,,,
17,82.7,96.1,407.6,3.1,22.8,Isaiah Spiller,RB,LAC,21,18,,,
18,107,145.2,628,4.8,19,Brian Robinson Jr.,RB,WAS,23,19,,,
19,102.4,227.1,1559,9.2,,Kenny Pickett,QB,PIT,24,20,139.8,61.56,6.7
20,58.3,,408.3,2.3,36.1,Wan'Dale Robinson,WR,NYG,21,21,,,
21,29.8,,207.7,1.7,19.9,Trey McBride,TE,ARI,22,22,,,
22,0,,0,0,0,John Metchie III,WR,HOU,22,23,,,
